mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.019632260004679363,0.0003623521266266687,0.0015994707743326824,0.00017909413036709448,1,1,"{'max_features': 1, 'n_estimators': 1}",0.672893006575015,0.6797254112912771,0.6833057166528584,0.6786413781730501,0.004319527647198232,7091
0.11419900258382161,0.003779486909299601,0.044092019399007164,0.00478223498925704,1,51,"{'max_features': 1, 'n_estimators': 51}",0.8135086670651525,0.8392709196354599,0.8493904604095159,0.8340566823700427,0.015105561362115393,7029
0.21141465504964194,0.010647389006531564,0.04670302073160807,0.017591727955124477,1,101,"{'max_features': 1, 'n_estimators': 101}",0.8127913927077107,0.8635933246538052,0.8612557699135993,0.8458801624250385,0.0234167468790411,7027
0.3229834238688151,0.007587245854902937,0.05662695566813151,0.019995491217185093,1,151,"{'max_features': 1, 'n_estimators': 151}",0.8151225343693963,0.8624393419339567,0.8701917386672979,0.8492512049902169,0.024339262280468166,7023
0.43315672874450684,0.02515703935750577,0.06849193572998047,0.017908303777364343,1,201,"{'max_features': 1, 'n_estimators': 201}",0.8253138075313808,0.8575571073499823,0.878950171617943,0.8539403621664353,0.022045793588174524,6997
0.5448010762532552,0.03883815989406404,0.06685368220011394,0.012333667347190729,1,251,"{'max_features': 1, 'n_estimators': 251}",0.8258517632994621,0.8546869452006155,0.8752515090543259,0.8519300725181345,0.020261358631672166,7014
0.6272514661153158,0.015808437038083867,0.11837013562520345,0.006851526906360919,1,301,"{'max_features': 1, 'n_estimators': 301}",0.8255230125523013,0.8486507278967925,0.8788909930169251,0.8510215778220062,0.021851789121931267,7018
0.7752252419789633,0.025867601310292056,0.1474586327870687,0.022710872398789175,1,351,"{'max_features': 1, 'n_estimators': 351}",0.8271368798565452,0.8498342999171499,0.8745709551426204,0.8505140449721051,0.019370844321059174,7020
0.9275101820627848,0.06778560801877002,0.15094772974650064,0.011893476986642327,1,401,"{'max_features': 1, 'n_estimators': 401}",0.822952779438135,0.8483252455911942,0.8730027222156468,0.8480935824149921,0.020433460204257393,7026
1.0362686316172283,0.01892896637148185,0.17380674680074057,0.05759360825202054,1,451,"{'max_features': 1, 'n_estimators': 451}",0.82504482964734,0.8479997632855959,0.8731210794176825,0.8487218907835395,0.019633687870384955,7025
1.2204307715098064,0.08049295540458387,0.10446564356486003,0.009832197166494838,1,501,"{'max_features': 1, 'n_estimators': 501}",0.8255528989838614,0.8486211385962835,0.8721150432003787,0.8487630269268412,0.019009180549297747,7024
1.2307140827178955,0.03492675610169524,0.1723336378733317,0.05588962011106733,1,551,"{'max_features': 1, 'n_estimators': 551}",0.8265989240884638,0.8486211385962836,0.8730914901171736,0.8494371842673071,0.018989279815839626,7022
1.395236651102702,0.02906448027116823,0.21129631996154785,0.004721128956099106,1,601,"{'max_features': 1, 'n_estimators': 601}",0.8260908547519428,0.8505148538288554,0.873860811930406,0.850155506837068,0.01950365862948851,7021
1.4448871612548828,0.045224762750369366,0.17197720209757486,0.03323611836169269,1,651,"{'max_features': 1, 'n_estimators': 651}",0.8263299462044231,0.8512545863415789,0.8763463131731566,0.8513102819063861,0.020419134289267463,7017
1.6909436384836833,0.16670260924829516,0.19745699564615884,0.0363818895999333,1,701,"{'max_features': 1, 'n_estimators': 701}",0.8280035863717872,0.8508699254349626,0.8776482423955498,0.8521739180674333,0.02028830969661399,7011
1.8440967400868733,0.09867287821466933,0.17651033401489258,0.029007718122337777,1,751,"{'max_features': 1, 'n_estimators': 751}",0.8267184698147041,0.850751568232927,0.8787430465143805,0.8520710281873373,0.021259427338220217,7012
1.971979300181071,0.049651080736731155,0.1960597038269043,0.07185259120546902,1,801,"{'max_features': 1, 'n_estimators': 801}",0.8250149432157801,0.8492425139069713,0.878447153509291,0.8509015368773474,0.021845129771868633,7019
1.8899256388346355,0.04194720174802352,0.22718071937561035,0.04068278349538334,1,851,"{'max_features': 1, 'n_estimators': 851}",0.8247459653317395,0.8508995147354717,0.8788909930169251,0.851512157694712,0.0221088595259006,7016
1.971131722132365,0.023299294030518232,0.27172064781188965,0.050882590001356635,1,901,"{'max_features': 1, 'n_estimators': 901}",0.8252540346682606,0.8520534974553202,0.8795123683276127,0.8522733001503978,0.022151417227662385,7008
2.149129867553711,0.08478315080005658,0.27432974179585773,0.024194977689883886,1,951,"{'max_features': 1, 'n_estimators': 951}",0.8254632396891811,0.8512545863415788,0.881198958456622,0.8526389281624606,0.022775057824128527,7006
2.1576472918192544,0.0696776101874221,0.31236958503723145,0.00817834866816249,1,1001,"{'max_features': 1, 'n_estimators': 1001}",0.8243873281530185,0.8508995147354717,0.8797194934311752,0.8516687787732217,0.02259581014203213,7015
2.217091719309489,0.04231005597337497,0.22386439641316733,0.028087650279675098,1,1051,"{'max_features': 1, 'n_estimators': 1051}",0.8260310818888226,0.8517871937507396,0.8801041543377914,0.8526408099924513,0.022083489859077137,7005
2.411893049875895,0.1432424442461477,0.2659059365590413,0.021051157043863854,1,1101,"{'max_features': 1, 'n_estimators': 1101}",0.8260310818888226,0.8513433542431058,0.880784708249497,0.8527197147938085,0.02237425121555627,7004
2.7205240726470947,0.251045870994168,0.246260404586792,0.03370128759344026,1,1151,"{'max_features': 1, 'n_estimators': 1151}",0.8254632396891811,0.8515504793466682,0.880281690140845,0.8524318030588981,0.02238821380540345,7007
2.7042686144510903,0.09064560469633202,0.2796467145284017,0.04660708901770113,1,1201,"{'max_features': 1, 'n_estimators': 1201}",0.8251942618051404,0.8507811575334359,0.8808438868505148,0.8522731020630303,0.022743345045415385,7009
2.7877163092295327,0.06959579941436318,0.32753825187683105,0.05496000361963387,1,1251,"{'max_features': 1, 'n_estimators': 1251}",0.824178123132098,0.8508995147354717,0.8810510119540774,0.8520428832738824,0.023232331486533697,7013
2.978731314341227,0.08191456940849026,0.26774803797403973,0.04060063258675329,1,1301,"{'max_features': 1, 'n_estimators': 1301}",0.8251643753735804,0.8508107468339449,0.8807551189489881,0.8522434137188378,0.022717424936510477,7010
2.9860547383626304,0.10977240167178032,0.3216214179992676,0.03776579724503798,1,1351,"{'max_features': 1, 'n_estimators': 1351}",0.8252839210998206,0.8519055509527754,0.8811693691561131,0.852786280402903,0.02282363671556869,7003
3.0192336241404214,0.09391206034994791,0.26235707600911456,0.02366213838615105,1,1401,"{'max_features': 1, 'n_estimators': 1401}",0.82504482964734,0.8529411764705882,0.8839507634039531,0.8539789231739604,0.024059439541822113,6996
3.0483647187550864,0.040758432228773046,0.35396909713745117,0.024396378769700203,1,1451,"{'max_features': 1, 'n_estimators': 1451}",0.8238493723849373,0.8538880340868742,0.8839803527044621,0.8539059197254245,0.024548373177175703,6999
3.2004255453745523,0.0035093409939179793,0.21840906143188477,0.060336159938804305,1,1501,"{'max_features': 1, 'n_estimators': 1501}",0.8232815301852958,0.8533258373772044,0.884986388921766,0.8538645854947554,0.025193783427300172,7001
3.3368693192799888,0.09859763948858467,0.3473377227783203,0.06148474442512675,1,1551,"{'max_features': 1, 'n_estimators': 1551}",0.8242677824267782,0.8528228192685525,0.8854302284293999,0.8541736100415768,0.024987726014189023,6992
3.478313763936361,0.14488232738304826,0.31612833340962726,0.04073082595935848,1,1601,"{'max_features': 1, 'n_estimators': 1601}",0.8243275552898984,0.853029944372115,0.8853414605278731,0.8542329867299622,0.024923344362039634,6991
3.520913283030192,0.1108364479728498,0.3095039526621501,0.05572377088230505,1,1651,"{'max_features': 1, 'n_estimators': 1651}",0.822922893006575,0.8533554266777134,0.8853414605278732,0.8538732600707205,0.025484904112302805,7000
3.713846762975057,0.11021372940969644,0.3556239604949951,0.07901629450295782,1,1701,"{'max_features': 1, 'n_estimators': 1701}",0.8236700537955768,0.8528228192685524,0.8847496745176944,0.8537475158606078,0.024944221972632637,7002
3.836463371912638,0.031031675049430076,0.3403945763905843,0.05434192507371422,1,1751,"{'max_features': 1, 'n_estimators': 1751}",0.8239988045427376,0.8532666587761866,0.8845425494141319,0.853936004244352,0.024721411479119847,6998
3.9378743171691895,0.021599459613801726,0.4341857433319092,0.04357871093788709,1,1801,"{'max_features': 1, 'n_estimators': 1801}",0.823729826658697,0.8535329624807669,0.8849272103207481,0.854063333153404,0.024986541865010238,6994
4.199310382207234,0.1821716432679572,0.33329566319783527,0.044445355747588344,1,1851,"{'max_features': 1, 'n_estimators': 1851}",0.8242080095636581,0.8536217303822938,0.8843354243105693,0.8540550547521738,0.02454882656454163,6995
4.148636341094971,0.07174092239626126,0.3701166311899821,0.05230907536005509,1,1901,"{'max_features': 1, 'n_estimators': 1901}",0.8245367603108189,0.8531187122736419,0.8845425494141319,0.8540660073328642,0.024506416947740303,6993
4.4885382652282715,0.08972815840688446,0.3329769770304362,0.00648627597437824,1,1951,"{'max_features': 1, 'n_estimators': 1951}",0.8250149432157801,0.8530891229731329,0.8852231033258375,0.8544423898382502,0.024598497709761972,6990
4.368659973144531,0.16222681618970586,0.42323875427246094,0.03261525761064079,1,2001,"{'max_features': 1, 'n_estimators': 2001}",0.8256126718469814,0.8539472126878921,0.884927210320748,0.8548290316185406,0.02422308571120837,6988
